                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8144,                0.95545,                      1,                 2.3702,             0.00023766,             0.00023766,             0.00023766
                      2,                0.33667,                0.96967,                      1,                 2.3036,             0.00044426,             0.00044426,             0.00044426
                      3,                0.24646,                0.98483,                      1,                 2.2737,             0.00061945,             0.00061945,             0.00061945
                      4,                0.19837,                0.98957,                      1,                 2.2669,             0.00057263,             0.00057263,             0.00057263
                      5,                0.15154,                0.98673,                      1,                 2.2668,              0.0005255,              0.0005255,              0.0005255
                      6,                0.13903,                0.98483,                      1,                 2.2654,             0.00047838,             0.00047838,             0.00047838
                      7,                0.10416,                0.98957,                      1,                 2.2619,             0.00043126,             0.00043126,             0.00043126
                      8,                 0.0851,                0.98768,                      1,                 2.2638,             0.00038413,             0.00038413,             0.00038413
                      9,                0.07736,                0.98863,                      1,                 2.2626,             0.00033701,             0.00033701,             0.00033701
                     10,                0.07156,                0.99147,                      1,                  2.258,             0.00028988,             0.00028988,             0.00028988
                     11,                0.06072,                0.99431,                      1,                 2.2571,             0.00024276,             0.00024276,             0.00024276
                     12,                0.04921,                0.99242,                      1,                 2.2574,             0.00019564,             0.00019564,             0.00019564
                     13,                0.04846,                0.99147,                      1,                 2.2581,             0.00014851,             0.00014851,             0.00014851
                     14,                0.04455,                0.99242,                      1,                 2.2573,             0.00010139,             0.00010139,             0.00010139
                     15,                0.03874,                0.99242,                      1,                 2.2565,             5.4264e-05,             5.4264e-05,             5.4264e-05
